Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-07-09 00:00:00-04:00,459.77428381745585,460.09916463101644,450.91353744838284,452.4297180175781,17207200,0.0,0.0
2024-07-10 00:00:00-04:00,454.0837473649462,459.24266153927346,451.76024698147666,459.0359191894531,18196100,0.0,0.0
2024-07-11 00:00:00-04:00,455.81649732303464,457.5886345893225,444.5633265323156,447.66461181640625,23111200,0.0,0.0
2024-07-12 00:00:00-04:00,447.3003093014831,449.29889867197954,443.67725577045155,446.5323791503906,16324300,0.0,0.0
2024-07-15 00:00:00-04:00,446.28624348851673,450.1849934949163,444.44518211930125,446.93603515625,14429400,0.0,0.0
2024-07-16 00:00:00-04:00,447.19211090053625,447.2708598856075,439.7490849273411,442.5648193359375,17175700,0.0,0.0
2024-07-17 00:00:00-04:00,435.74201993255645,437.96706168336215,432.38477757281146,436.6576232910156,21778000,0.0,0.0
2024-07-18 00:00:00-04:00,437.4648797185402,437.770080793845,427.67867544192785,433.5563049316406,20794800,0.0,0.0
2024-07-19 00:00:00-04:00,426.39883667006126,434.3144456334854,425.31585048613374,430.3467712402344,20940400,0.0,0.0
2024-07-22 00:00:00-04:00,434.95437784378936,437.7208974938516,432.1189340633458,436.0865783691406,15808800,0.0,0.0
2024-07-23 00:00:00-04:00,437.0316974699668,441.45224583194545,436.24408758502966,437.9670104980469,13107100,0.0,0.0
2024-07-24 00:00:00-04:00,433.6351347306288,434.6491968195245,420.9740958851319,422.2638244628906,26805800,0.0,0.0
2024-07-25 00:00:00-04:00,422.1653487650477,423.14987619224735,411.05005574464656,411.92626953125,29943800,0.0,0.0
2024-07-26 00:00:00-04:00,411.7293557750341,422.28349032231534,410.8137224917234,418.68994140625,23583800,0.0,0.0
2024-07-29 00:00:00-04:00,424.9023450000168,425.46353285919287,418.12882136064246,420.1274108886719,15125800,0.0,0.0
2024-07-30 00:00:00-04:00,421.1020314288797,422.41143955979663,410.9023126509883,416.3763122558594,32687600,0.0,0.0
2024-07-31 00:00:00-04:00,413.9937725831716,415.2539664560443,405.8320320070505,411.8770446777344,42891400,0.0,0.0
2024-08-01 00:00:00-04:00,414.2792724511176,420.84605305704525,406.69839983005807,410.65618896484375,30296400,0.0,0.0
2024-08-02 00:00:00-04:00,406.10766494731143,408.57883813707474,398.08377329176966,402.1695556640625,29437900,0.0,0.0
2024-08-05 00:00:00-04:00,383.1485258419234,394.8348607957488,379.61404618021845,389.0359802246094,40709200,0.0,0.0
2024-08-06 00:00:00-04:00,393.81095153508136,399.39323499306323,392.3341604668248,393.4269714355469,24946500,0.0,0.0
2024-08-07 00:00:00-04:00,402.3173055349637,403.7349973998657,391.32012086399686,392.2652587890625,20650900,0.0,0.0
2024-08-08 00:00:00-04:00,396.21324922868644,399.58031645092876,393.75193048039444,396.4593811035156,20203000,0.0,0.0
2024-08-09 00:00:00-04:00,397.77859311198716,401.73638233312255,396.03599047899144,399.73779296875,19276700,0.0,0.0
2024-08-12 00:00:00-04:00,400.7616957993417,402.4354042920839,397.98532149531104,400.51556396484375,16762900,0.0,0.0
2024-08-13 00:00:00-04:00,403.2525628062739,408.5296451452922,403.23288307516907,407.60418701171875,19414300,0.0,0.0
2024-08-14 00:00:00-04:00,408.3820014539116,411.25683501944593,406.06838582856113,410.4101257324219,18267000,0.0,0.0
2024-08-15 00:00:00-04:00,414.0495026891561,415.3415556987604,411.9388323916096,415.2626647949219,20752100,0.75,0.0
2024-08-16 00:00:00-04:00,414.8386210132459,415.56847485047064,411.58380640221424,412.73779296875,22775600,0.0,0.0
2024-08-19 00:00:00-04:00,413.22102581055816,415.97281647426513,410.7552711189502,415.7558288574219,15234000,0.0,0.0
2024-08-20 00:00:00-04:00,415.92353667507666,420.0265262237166,415.86436096713305,418.9810485839844,16387600,0.0,0.0
2024-08-21 00:00:00-04:00,418.27090283610073,420.55913050260955,415.943244764668,418.3301086425781,16067300,0.0,0.0
2024-08-22 00:00:00-04:00,418.54707521874735,420.94381179948715,408.9306313403218,409.8577575683594,19361900,0.0,0.0
2024-08-23 00:00:00-04:00,411.26821033098173,413.51697764071497,406.4451792024677,411.080810546875,18493800,0.0,0.0
2024-08-26 00:00:00-04:00,410.6664817766791,411.56402004001427,405.70538485264774,407.825927734375,13152800,0.0,0.0
2024-08-27 00:00:00-04:00,407.2046472922476,408.68410035771785,404.63041340611323,408.1712341308594,13492900,0.0,0.0
2024-08-28 00:00:00-04:00,409.19692623598894,409.315277644923,401.73061382710534,404.9755554199219,14882700,0.0,0.0
2024-08-29 00:00:00-04:00,409.25610570352524,416.268697643249,404.9755591436319,407.4610290527344,17045200,0.0,0.0
2024-08-30 00:00:00-04:00,409.90708149754283,411.7711764633265,406.4846126518204,411.4259948730469,24308300,0.0,0.0
2024-09-03 00:00:00-04:00,412.18542969380115,414.1284456363182,401.45446023053216,403.8314514160156,20313600,0.0,0.0
2024-09-04 00:00:00-04:00,400.3497951691964,405.60677088600426,398.8308818633999,403.298828125,15135800,0.0,0.0
2024-09-05 00:00:00-04:00,402.0363656944642,407.44131080829675,400.56678553175374,402.79583740234375,14195500,0.0,0.0
2024-09-06 00:00:00-04:00,403.4566777506577,405.0248942566708,395.30981392110493,396.197509765625,19609500,0.0,0.0
2024-09-09 00:00:00-04:00,401.6615826272171,403.0522719406784,396.6413094868822,400.16241455078125,15295100,0.0,0.0
2024-09-10 00:00:00-04:00,402.6084339185776,410.62704280907684,402.1152829853601,408.5262451171875,19594300,0.0,0.0
2024-09-11 00:00:00-04:00,409.8084532189213,418.1821469994098,403.9695325309428,417.24517822265625,19266900,0.0,0.0
2024-09-12 00:00:00-04:00,417.51148327493246,421.51586685329676,414.00025068010603,421.15093994140625,17395700,0.0,0.0
2024-09-13 00:00:00-04:00,419.9969049719398,425.914716092092,419.63197810212404,424.69171142578125,15874600,0.0,0.0
2024-09-16 00:00:00-04:00,424.7015732808735,427.59143041386807,422.35417011362034,425.4314270019531,13834700,0.0,0.0
2024-09-17 00:00:00-04:00,434.1997005769437,435.79750485485505,426.3487157034463,429.18927001953125,18874200,0.0,0.0
2024-09-18 00:00:00-04:00,429.0413909487304,430.0572808543512,424.5142681596312,424.9087829589844,18898000,0.0,0.0
2024-09-19 00:00:00-04:00,435.1860014052933,435.452292084435,430.91529729082623,432.6807861328125,21706600,0.0,0.0
2024-09-20 00:00:00-04:00,431.23091793236443,433.22323693457605,428.27201223229315,429.3076171875,55167100,0.0,0.0
2024-09-23 00:00:00-04:00,428.3311884542686,430.48131937501944,424.4944897103184,427.5717468261719,15128900,0.0,0.0
2024-09-24 00:00:00-04:00,427.0687217553129,427.4139334394583,420.2632446802758,423.29119873046875,17015800,0.0,0.0
2024-09-25 00:00:00-04:00,423.94215074360574,427.1870925626301,422.69943076362244,426.19091796875,13396400,0.0,0.0
2024-09-26 00:00:00-04:00,429.1300753187062,429.33719028271923,423.2517246244965,425.40185546875,14492000,0.0,0.0
2024-09-27 00:00:00-04:00,425.6089779793521,425.93447445668835,421.6144673905514,422.15692138671875,14896100,0.0,0.0
2024-09-30 00:00:00-04:00,422.34436366886086,424.5241127227398,419.54326964937644,424.4057312011719,16807300,0.0,0.0
2024-10-01 00:00:00-04:00,422.5810498180969,422.6106376703255,413.07308530803846,414.9273376464844,19092900,0.0,0.0
2024-10-02 00:00:00-04:00,416.7914652693021,417.0281982052677,411.00187763203274,411.4161376953125,16582300,0.0,0.0
2024-10-03 00:00:00-04:00,411.90926344701154,413.8029462214933,408.61501874387466,410.8341979980469,13686400,0.0,0.0
2024-10-04 00:00:00-04:00,412.5109404707377,414.00026612845136,409.28574375388894,410.3608093261719,19169700,0.0,0.0
2024-10-07 00:00:00-04:00,410.30164800432675,411.39642881924686,403.39753373502316,403.9301452636719,20919800,0.0,0.0
2024-10-08 00:00:00-04:00,405.2714281620606,409.9662346464486,402.5788433485802,409.02923583984375,19229300,0.0,0.0
2024-10-09 00:00:00-04:00,410.1635185105957,414.62162263212304,408.6248898614367,411.7416076660156,14974300,0.0,0.0
2024-10-10 00:00:00-04:00,409.5421386142519,411.63309377445904,407.49061385739407,410.1437683105469,13848400,0.0,0.0
2024-10-11 00:00:00-04:00,410.4397214022164,411.4161507329335,407.58929422530787,410.61724853515625,14144900,0.0,0.0
2024-10-14 00:00:00-04:00,412.0473312101826,418.2314633461143,411.80075573680847,413.3985900878906,16653100,0.0,0.0
2024-10-15 00:00:00-04:00,416.39697063938524,416.6928792987612,409.57177766327413,413.00408935546875,18900200,0.0,0.0
2024-10-16 00:00:00-04:00,409.4829836231505,410.65665522282575,404.85722518493617,410.4199523925781,15508900,0.0,0.0
2024-10-17 00:00:00-04:00,416.57450753710987,416.7126042679644,409.8972536844407,411.01177978515625,14820000,0.0,0.0
2024-10-18 00:00:00-04:00,411.42598973201757,413.9015870376485,410.55803924257515,412.4320068359375,17145300,0.0,0.0
2024-10-21 00:00:00-04:00,410.4199513395574,413.22104518863654,408.08242059822123,413.04351806640625,14206100,0.0,0.0
2024-10-22 00:00:00-04:00,412.75749822543423,424.68188532771023,412.3136804024992,421.6539611816406,25482200,0.0,0.0
2024-10-23 00:00:00-04:00,424.95801224079617,425.1749998576998,416.7421308498749,418.7837829589844,19654400,0.0,0.0
2024-10-24 00:00:00-04:00,419.5037748840412,420.144895200207,416.6139175340375,418.9120178222656,13581600,0.0,0.0
2024-10-25 00:00:00-04:00,420.914242666979,426.5953216047658,420.72684288279277,422.2851867675781,16899100,0.0,0.0
2024-10-28 00:00:00-04:00,425.74710969864265,426.02327304477956,420.46051551603273,420.7465515136719,14882400,0.0,0.0
2024-10-29 00:00:00-04:00,422.1372373224,427.2364316805858,419.9673609785876,426.03314208984375,17644100,0.0,0.0
2024-10-30 00:00:00-04:00,431.44794042425275,432.4934181148105,426.1810914644013,426.6051940917969,29749100,0.0,0.0
2024-10-31 00:00:00-04:00,409.6703426075015,410.4594021869807,400.7344498042727,400.7837829589844,53971000,0.0,0.0
2024-11-01 00:00:00-04:00,403.4073012516074,409.8083901811883,401.9179759298056,404.7486572265625,24230400,0.0,0.0
2024-11-04 00:00:00-05:00,404.18653972407174,404.7980722358363,400.01450160866744,402.8648986816406,19672300,0.0,0.0
2024-11-05 00:00:00-05:00,402.7760918050739,409.2166418436789,402.4900558335031,405.8237609863281,17626000,0.0,0.0
2024-11-06 00:00:00-05:00,406.77063429083336,414.6906371773605,404.89663664059157,414.42431640625,26681800,0.0,0.0
2024-11-07 00:00:00-05:00,415.5093002796819,421.00300957645607,414.1284835164612,419.6024475097656,19901800,0.0,0.0
2024-11-08 00:00:00-05:00,419.4939322441371,420.65776126477715,416.0024150826717,416.75201416015625,16891400,0.0,0.0
2024-11-11 00:00:00-05:00,416.7322277720358,418.9908673331369,410.30155083989956,412.2840270996094,24503300,0.0,0.0
2024-11-12 00:00:00-05:00,412.5207686609151,418.6259798148705,411.485163708279,417.23529052734375,19401200,0.0,0.0
2024-11-13 00:00:00-05:00,415.8643777407356,423.44901221052845,412.481339102593,419.3756103515625,21502200,0.0,0.0
2024-11-14 00:00:00-05:00,419.17829445283394,422.304884622317,414.24678510633004,421.04241943359375,30246900,0.0,0.0
2024-11-15 00:00:00-05:00,414.0692593490907,417.00841966551917,407.97392100075103,409.3152770996094,28247600,0.0,0.0
2024-11-18 00:00:00-05:00,409.1871181522339,412.66876311229754,406.45507236642675,410.06494140625,24727000,0.0,0.0
2024-11-19 00:00:00-05:00,407.45119206262405,412.2150474297726,405.9125633985823,412.0671081542969,18133500,0.0,0.0
2024-11-20 00:00:00-05:00,411.1596854793811,411.57394553855335,404.9558378403451,409.798583984375,19191700,0.0,0.0
2024-11-21 00:00:00-05:00,414.5818472703372,414.85856338751086,405.47983232208855,408.0295715332031,20780200,0.83,0.0
2024-11-22 00:00:00-05:00,406.547145598137,412.50644943843054,406.2407824115055,412.11114501953125,24814600,0.0,0.0
2024-11-25 00:00:00-05:00,413.47493016174343,416.1432573462543,409.9863169830385,413.880126953125,27691100,0.0,0.0
2024-11-26 00:00:00-05:00,414.6707766023476,424.0099980685231,413.93946191933657,422.9722900390625,23458900,0.0,0.0
2024-11-27 00:00:00-05:00,420.12605489536344,422.22122564388053,417.07228524559736,418.0309143066406,18332400,0.0,0.0
2024-11-29 00:00:00-05:00,415.16493646523105,419.8987878079345,412.90177557031507,418.49542236328125,16271900,0.0,0.0
2024-12-02 00:00:00-05:00,416.62759418862754,427.92358362660957,416.37063273208213,425.9272766113281,20207200,0.0,0.0
2024-12-03 00:00:00-05:00,424.80061260374794,427.3997836787713,422.72522667678595,426.1446838378906,18302000,0.0,0.0
2024-12-04 00:00:00-05:00,427.95323167121506,434.5153999624501,427.55792723241916,432.2917785644531,26009400,0.0,0.0
2024-12-05 00:00:00-05:00,432.78587611481566,439.4468472719849,431.05639296725934,437.4307556152344,21697800,0.0,0.0
2024-12-06 00:00:00-05:00,437.1145294101148,440.8699968788184,436.5907442566123,438.3696594238281,18821000,0.0,0.0
2024-12-09 00:00:00-05:00,437.41103647885797,443.0738395996816,435.33565050126293,440.7909240722656,19144400,0.0,0.0
2024-12-10 00:00:00-05:00,439.1800467406791,444.34871163189086,436.42274787532307,438.1324462890625,18469500,0.0,0.0
2024-12-11 00:00:00-05:00,438.84401807874156,445.0701760009867,438.84401807874156,443.7261047363281,19200200,0.0,0.0
2024-12-12 00:00:00-05:00,443.84472286141465,450.8120883738138,443.84472286141465,444.2894592285156,20834800,0.0,0.0
2024-12-13 00:00:00-05:00,443.1825720342727,446.13750815775296,440.3560864798084,442.0262756347656,20177800,0.0,0.0
2024-12-16 00:00:00-05:00,442.02626356510217,446.8787030896928,440.0596036741231,446.2956237792969,23598800,0.0,0.0
2024-12-17 00:00:00-05:00,445.72242348242105,449.95224407864544,444.2993034538041,449.1319580078125,22733500,0.0,0.0
2024-12-18 00:00:00-05:00,446.0287948744165,447.34318887069384,431.89642797238076,432.2621154785156,24444500,0.0,0.0
2024-12-19 00:00:00-05:00,436.4425256398133,437.98423408144293,431.2046739034814,431.9063415527344,22963700,0.0,0.0
2024-12-20 00:00:00-05:00,428.03227991601136,438.5376604876813,423.6048219518138,431.48138427734375,64263700,0.0,0.0
2024-12-23 00:00:00-05:00,431.61970806424813,432.51904296318025,427.7555447705133,430.1471862792969,19152500,0.0,0.0
2024-12-24 00:00:00-05:00,429.5541964268554,434.4461751355928,429.09959787026054,434.1793212890625,7164500,0.0,0.0
2024-12-26 00:00:00-05:00,433.9322924323696,435.7705018127553,431.5110338839644,432.9736633300781,8194200,0.0,0.0
2024-12-27 00:00:00-05:00,429.5048044431988,430.1175308072659,421.35152651661633,425.4825134277344,18117700,0.0,0.0
2024-12-30 00:00:00-05:00,421.0649252132939,422.53744699473475,416.95369289645987,419.8493347167969,13158700,0.0,0.0
2024-12-31 00:00:00-05:00,421.1044562623139,421.727075036825,415.72823181420273,416.5583801269531,13246500,0.0,0.0
2025-01-02 00:00:00-05:00,420.54116958363784,421.0748471756245,409.98638702094667,413.6726379394531,16896500,0.0,0.0
2025-01-03 00:00:00-05:00,416.1432822085411,419.05870873446685,414.62135874681445,418.3866882324219,16662900,0.0,0.0
